dis	rel	gene
C1857953	disease_gene	ABCC9
C1835047	disease_gene	CDK4
C3714756	disease_gene	ETHE1
C0027051	disease_gene	PLAT
C4020899	disease_gene	HEXA
C0039685	disease_gene	DLL4
C1855009	disease_gene	NDUFAF1
C0037199	disease_gene	BLM
C0026838	disease_gene	ABCC8
C1840069	disease_gene	FLNB
C4020899	disease_gene	SLC25A1
C0240310	disease_gene	WNT10B
C1865017	disease_gene	SMC1A
C0221217	disease_gene	GLE1
C1857287	disease_gene	TRNS1
C0752347	disease_gene	GFAP
C1855062	disease_gene	KRAS
C0238669	disease_gene	B3GAT3
C3552463	disease_gene	NDUFV2
C3806482	disease_gene	ZBTB24
C1855996	disease_gene	PEX19
C1839458	disease_gene	CFP
C0043094	disease_gene	RFNG
C0010606	disease_gene	TP53
C3553764	disease_gene	KIF22
C4025565	disease_gene	ACTA1
C2051831	disease_gene	SOS1
C1864897	disease_gene	RAB18
C0338503	disease_gene	PROP1
C1850049	disease_gene	PLK4
C4020887	disease_gene	CACNA1F
C0027746	disease_gene	ABCD1
C0423224	disease_gene	POU1F1
C0042798	disease_gene	RPGR
C2717906	disease_gene	SERPING1
C1832680	disease_gene	SCN5A
C0018801	disease_gene	PHYH
C1854912	disease_gene	SMAD4
C0038271	disease_gene	ADNP
C0031117	disease_gene	LDB3
C0011168	disease_gene	CLCN1
C0032927	disease_gene	TTLL9
C4023211	disease_gene	AIP
C0003706	disease_gene	HSD17B10
C0001925	disease_gene	MIR145
C0021841	disease_gene	BCL2
C0037199	disease_gene	MET
C1857130	disease_gene	MED12
C4280369	disease_gene	GTF2I
C0033578	disease_gene	CCND1
C1866934	disease_gene	RMRP
C0014544	disease_gene	SYNGAP1
C0019087	disease_gene	LYST
C1850293	disease_gene	INPPL1
C0020538	disease_gene	TRNE
C0240421	disease_gene	PEX6
C0023893	disease_gene	LUM
C4024609	disease_gene	DGUOK
C3714756	disease_gene	ATP1A2
C0011334	disease_gene	ERCC8
C4280651	disease_gene	FZD2
C0007787	disease_gene	C3
C4280651	disease_gene	RAI1
C4072821	disease_gene	PROP1
C0013182	disease_gene	TAC1
C0235153	disease_gene	ZNF365
C0009404	disease_gene	NR4A2
C4020899	disease_gene	MGP
C0036857	disease_gene	LARP7
C1859541	disease_gene	IL2RA
C0015702	disease_gene	G6PD
C0007758	disease_gene	DARS2
C0399526	disease_gene	PRKAR1A
C0035304	disease_gene	BBS4
C0020796	disease_gene	ATIC
C1510497	disease_gene	PLOD3
C0040822	disease_gene	TPI1
C1321489	disease_gene	MSH2
C0431663	disease_gene	MASP1
C1858025	disease_gene	ACTA1
C0025362	disease_gene	ARL2BP
C0333068	disease_gene	KRT1
C0030232	disease_gene	RPL5
C0007193	disease_gene	RBCK1
C3554617	disease_gene	KCNH1
C0035334	disease_gene	PDE6B
C1837260	disease_gene	LMNA
C0041696	disease_gene	GABBR2
C0025958	disease_gene	SIN3A
C0005586	disease_gene	FKBP1A
C0027092	disease_gene	BMP2
C0542476	disease_gene	PDGFRB
C0162323	disease_gene	ENPP1
C0023893	disease_gene	GK
C0036341	disease_gene	TRPM1
C0424688	disease_gene	ACADSB
C1848736	disease_gene	DCTN1
C0025362	disease_gene	EP300
C2315100	disease_gene	ASCL1
C0024668	disease_gene	LNPEP
C0005937	disease_gene	NOTCH3
C0235942	disease_gene	ENPP1
C1847514	disease_gene	MED17
C0018536	disease_gene	MLXIPL
C0575158	disease_gene	LRP5
C0239138	disease_gene	MMP13
C0025362	disease_gene	DAG1
C0239234	disease_gene	ZMPSTE24
C0020450	disease_gene	TSHR
C1842003	disease_gene	HSD17B4
C4024780	disease_gene	ERCC4
C4280664	disease_gene	MAN2B1
C0005586	disease_gene	CTNND2
C3839460	disease_gene	COL4A3
C0917816	disease_gene	GCSH
C0004936	disease_gene	XK
C0162678	disease_gene	NF1
C1386048	disease_gene	XPR1
C1850049	disease_gene	FLII
C0023012	disease_gene	GATM
C4020958	disease_gene	SLC29A3
C0033578	disease_gene	SHBG
C0011253	disease_gene	SNCB
C3553868	disease_gene	TRAF3
C4025838	disease_gene	PARN
C4280560	disease_gene	GNAS
C4225178	disease_gene	GLRX5
C1527405	disease_gene	CYB5R3
C0001125	disease_gene	CYTB
C0027819	disease_gene	NRAS
C1836830	disease_gene	SLC2A3
C0043094	disease_gene	VIM
C0019284	disease_gene	NKX2-1
C3550546	disease_gene	IDUA
C4020875	disease_gene	PSPH
C0235032	disease_gene	BCL2L1
C4020847	disease_gene	FGFR3
C1864897	disease_gene	PEX1
C0026827	disease_gene	CHST14
C0037772	disease_gene	L1CAM
C0401151	disease_gene	CHD7
C0494475	disease_gene	CERS1
C4023010	disease_gene	BMPR1A
C1851854	disease_gene	ITGA6
C0001973	disease_gene	TACR1
C4072879	disease_gene	GTF2I
C1510497	disease_gene	GNPAT
C0031117	disease_gene	NEFH
C0344482	disease_gene	CTNNB1
C3489396	disease_gene	NDN
C3806670	disease_gene	PIGA
C0151889	disease_gene	DGUOK
C0032019	disease_gene	DRD2
C0078917	disease_gene	LYST
C0454555	disease_gene	CRLF1
C0001973	disease_gene	CDH9
C1834118	disease_gene	AP4B1
C0009918	disease_gene	CAPN3
C0037317	disease_gene	POU1F1
C0026848	disease_gene	TRNS1
C0028738	disease_gene	ECHS1
C4020878	disease_gene	ADAMTSL2
C0018920	disease_gene	SDHC
C0015300	disease_gene	CTSK
C4280321	disease_gene	KRAS
C4280647	disease_gene	MOCS1
C0266642	disease_gene	CITED2
C0442874	disease_gene	IARS2
C0022661	disease_gene	ADIPOR1
C3809008	disease_gene	DARS
C0221354	disease_gene	ORC1
C0018772	disease_gene	SMARCA4
C0026858	disease_gene	ESR1
C0025362	disease_gene	KCNJ1
C1837731	disease_gene	UFD1L
C4072830	disease_gene	ZBTB20
